review_id,restaurant_id,review_score,review_content,food_score,service_score,atmosphere_score
Ci9DQUlRQUNvZENodHljRjlvT2tsR1UzcElWRXRqZUU5RlZreDBTRU4yZUdKcFVuYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,人生中第一次排隊買食物也是我第一次評論，徠徠的水餃真的算是我這輩子吃過最難吃的水餃，想了一陣子氣不過還是決定來留言。拜託台灣人民不要再去排隊買一些不適合人吃的食物。上次吃到類似的東西應該是在台北看守所裡面。,,,
Ci9DQUlRQUNvZENodHljRjlvT214T2VVcGhRamw2YmxKVU5WVkRMVXRpTkhkdFJXYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,服務態度非常愛差，水餃一般，高傲又傲慢，這已經不是過去的來來水餃店了⋯⋯。,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT21od2VFMW5OME5mZUhaVlJHVkxlVE4yWW10WmFtYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,不好吃又貴，完全不知道排什麼的😑,,,
Ci9DQUlRQUNvZENodHljRjlvT2xkUmFHaGZNRkYwTUhWQlZuZzNaVEZqUmxNeE5sRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,"等了四十分鐘、小菜都吃完了。水餃都還沒來
隔壁桌剛來的馬上好！不予置評",1,1,1
Ci9DQUlRQUNvZENodHljRjlvT210RWEzRkVkbVJ0ZEhOcWNGVlFZbVZ2VVUwek0xRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,真的很拍呷…,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2tKTVRUbEplRWt0VURSS1JFaHRZbm80UkRKcVkwRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,聽說很有名的水餃，結果超難吃！,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2xwV1kyOWpXRjgwVjNWS1prUm9NM3B1TUdod1MyYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,水餃很好吃，可惜服務非常非常差，很不耐煩。台灣店都是服務禮貌，人情味出名。這家店真的給人感覺很差勁。,4,1,1
Ci9DQUlRQUNvZENodHljRjlvT2paMFpFMW1XRU42TlVOaVVYbFNRV3h6ZVVaQ2FIYxAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,對兒童極度不友好店家，帶小孩來的請三思，隔壁阿亮比較好吃！,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT2tnMFIzRnhkalJuYURGMVZrWk9WR3haZFRNeVZWRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,排隊人潮洶湧，好不容易排到，點餐流程混亂，不但送錯餐，反應後又等了超級久才送來。酸辣湯偏鹹沒香氣，水餃還行。完全不會想回訪。,1,1,1
Ci9DQUlRQUNvZENodHljRjlvT25oc2MydFNZM05ZUmpCR2N6UldMV2xZYlVrMWQxRRAB,ChIJY7ekJ7upQjQRD-WjBStDYh4,1,態度極差的，不知道為什麼服務業，怎麼會有這樣誇張的爛店員？要當千金大小姐就待在家裡啊！結果不知為何比別家貴，又難吃還可以撐那麽久？,1,1,1
